Query,Language,Intent,Terminal,Response
currency exchange counter کہاں ہے؟,Urdu,Facilities,Arrival,currency exchange counter آمد کے ٹرمینل میں گیٹ 4 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
airport hotel desk کہاں ہے؟,Urdu,Facilities,Arrival,airport hotel desk آمد کے ٹرمینل میں گیٹ 5 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
medical emergency room کہاں ہے؟,Urdu,Facilities,Arrival,medical emergency room آمد کے ٹرمینل میں گیٹ 2 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
mobile SIM kiosk کہاں ہے؟,Urdu,Facilities,Arrival,mobile SIM kiosk آمد کے ٹرمینل میں گیٹ 2 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
arrival exit gate کہاں ہے؟,Urdu,Facilities,Arrival,arrival exit gate آمد کے ٹرمینل میں گیٹ 7 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
metro ticket booth کہاں ہے؟,Urdu,Facilities,Arrival,metro ticket booth آمد کے ٹرمینل میں گیٹ 7 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
tourist lounge کہاں ہے؟,Urdu,Facilities,Arrival,tourist lounge آمد کے ٹرمینل میں گیٹ 5 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
airport police office کہاں ہے؟,Urdu,Facilities,Arrival,airport police office آمد کے ٹرمینل میں گیٹ 5 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
lost child desk کہاں ہے؟,Urdu,Facilities,Arrival,lost child desk آمد کے ٹرمینل میں گیٹ 10 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
snack bar کہاں ہے؟,Urdu,Facilities,Arrival,snack bar آمد کے ٹرمینل میں گیٹ 6 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
self check-in kiosk کہاں ہے؟,Urdu,Facilities,Arrival,self check-in kiosk آمد کے ٹرمینل میں گیٹ 1 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
travel assistance counter کہاں ہے؟,Urdu,Facilities,Arrival,travel assistance counter آمد کے ٹرمینل میں گیٹ 10 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
free Wi-Fi zone کہاں ہے؟,Urdu,Facilities,Arrival,free Wi-Fi zone آمد کے ٹرمینل میں گیٹ 2 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
charging point کہاں ہے؟,Urdu,Facilities,Arrival,charging point آمد کے ٹرمینل میں گیٹ 7 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
baggage wrapping area کہاں ہے؟,Urdu,Facilities,Arrival,baggage wrapping area آمد کے ٹرمینل میں گیٹ 9 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
arrival hall restroom کہاں ہے؟,Urdu,Facilities,Arrival,arrival hall restroom آمد کے ٹرمینل میں گیٹ 4 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
prayer area کہاں ہے؟,Urdu,Facilities,Arrival,prayer area آمد کے ٹرمینل میں گیٹ 8 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
airport information booth کہاں ہے؟,Urdu,Facilities,Arrival,airport information booth آمد کے ٹرمینل میں گیٹ 5 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
taxi booking counter کہاں ہے؟,Urdu,Facilities,Arrival,taxi booking counter آمد کے ٹرمینل میں گیٹ 4 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
ride sharing pickup zone کہاں ہے؟,Urdu,Facilities,Arrival,ride sharing pickup zone آمد کے ٹرمینل میں گیٹ 7 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
bus terminal کہاں ہے؟,Urdu,Facilities,Arrival,bus terminal آمد کے ٹرمینل میں گیٹ 3 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
metro station exit کہاں ہے؟,Urdu,Facilities,Arrival,metro station exit آمد کے ٹرمینل میں گیٹ 9 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
public phone booth کہاں ہے؟,Urdu,Facilities,Arrival,public phone booth آمد کے ٹرمینل میں گیٹ 1 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
emergency medical aid کہاں ہے؟,Urdu,Facilities,Arrival,emergency medical aid آمد کے ٹرمینل میں گیٹ 5 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
complaint counter کہاں ہے؟,Urdu,Facilities,Arrival,complaint counter آمد کے ٹرمینل میں گیٹ 2 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
feedback kiosk کہاں ہے؟,Urdu,Facilities,Arrival,feedback kiosk آمد کے ٹرمینل میں گیٹ 10 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
arrival help desk کہاں ہے؟,Urdu,Facilities,Arrival,arrival help desk آمد کے ٹرمینل میں گیٹ 7 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
bank branch کہاں ہے؟,Urdu,Facilities,Arrival,bank branch آمد کے ٹرمینل میں گیٹ 3 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
drinking water dispenser کہاں ہے؟,Urdu,Facilities,Arrival,drinking water dispenser آمد کے ٹرمینل میں گیٹ 6 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
disabled assistance desk کہاں ہے؟,Urdu,Facilities,Arrival,disabled assistance desk آمد کے ٹرمینل میں گیٹ 8 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
wheelchair pickup point کہاں ہے؟,Urdu,Facilities,Arrival,wheelchair pickup point آمد کے ٹرمینل میں گیٹ 2 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
VIP arrival gate کہاں ہے؟,Urdu,Facilities,Arrival,VIP arrival gate آمد کے ٹرمینل میں گیٹ 4 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
special assistance counter کہاں ہے؟,Urdu,Facilities,Arrival,special assistance counter آمد کے ٹرمینل میں گیٹ 8 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
foreign exchange desk کہاں ہے؟,Urdu,Facilities,Arrival,foreign exchange desk آمد کے ٹرمینل میں گیٹ 6 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
airline ticket counter کہاں ہے؟,Urdu,Facilities,Arrival,airline ticket counter آمد کے ٹرمینل میں گیٹ 7 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
arrival gate security کہاں ہے؟,Urdu,Facilities,Arrival,arrival gate security آمد کے ٹرمینل میں گیٹ 2 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
parking ticket booth کہاں ہے؟,Urdu,Facilities,Arrival,parking ticket booth آمد کے ٹرمینل میں گیٹ 3 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
arrival luggage carts کہاں ہے؟,Urdu,Facilities,Arrival,arrival luggage carts آمد کے ٹرمینل میں گیٹ 4 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
baby feeding area کہاں ہے؟,Urdu,Facilities,Arrival,baby feeding area آمد کے ٹرمینل میں گیٹ 10 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
arrival baggage service کہاں ہے؟,Urdu,Facilities,Arrival,arrival baggage service آمد کے ٹرمینل میں گیٹ 3 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
airport pharmacy کہاں ہے؟,Urdu,Facilities,Arrival,airport pharmacy آمد کے ٹرمینل میں گیٹ 1 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
lost and found help کہاں ہے؟,Urdu,Facilities,Arrival,lost and found help آمد کے ٹرمینل میں گیٹ 6 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
customer care desk کہاں ہے؟,Urdu,Facilities,Arrival,customer care desk آمد کے ٹرمینل میں گیٹ 6 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
travel insurance counter کہاں ہے؟,Urdu,Facilities,Arrival,travel insurance counter آمد کے ٹرمینل میں گیٹ 10 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
airport guidance desk کہاں ہے؟,Urdu,Facilities,Arrival,airport guidance desk آمد کے ٹرمینل میں گیٹ 9 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
arrival map display کہاں ہے؟,Urdu,Facilities,Arrival,arrival map display آمد کے ٹرمینل میں گیٹ 1 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
airport metro link کہاں ہے؟,Urdu,Facilities,Arrival,airport metro link آمد کے ٹرمینل میں گیٹ 10 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
tour guide office کہاں ہے؟,Urdu,Facilities,Arrival,tour guide office آمد کے ٹرمینل میں گیٹ 4 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
arrival taxi bay کہاں ہے؟,Urdu,Facilities,Arrival,arrival taxi bay آمد کے ٹرمینل میں گیٹ 6 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
cleaning and sanitation area کہاں ہے؟,Urdu,Facilities,Arrival,cleaning and sanitation area آمد کے ٹرمینل میں گیٹ 3 کے قریب واقع ہے۔ 'Arrival Facilities' کے نشانات کو فالو کریں یا قریبی اسٹاف سے مدد لیں۔
