#,مسافر کا سوال,چیٹ بوٹ کا جواب, ارادہ,سیاق و سباق, زبان,
113,کیا میں عملے سے سیٹ اپگریڈ کی درخواست کر سکتا ہوں؟,جی ہاں، اگر بزنس کلاس خالی ہو تو ممکن ہے۔,چیک ان معلومات,روانگی,اُردو,
114,کیا میں پرواز کا بورڈنگ ٹائم جان سکتا ہوں؟,بورڈنگ پاس پر وقت درج ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
115,کیا چیک ان کے وقت سفر انشورنس دکھانی ہے؟,نہیں، صرف ٹکٹ اور شناختی دستاویز کافی ہیں۔,چیک ان معلومات,روانگی,اُردو,
116,کیا میں پرواز کے دن بیگ پہلے بھیج سکتا ہوں؟,نہیں، بیگ صرف چیک ان کے وقت جمع ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
117,کیا میں سامان میں الیکٹرانک چیزیں رکھ سکتا ہوں؟,جی ہاں، مگر نازک اشیاء ہینڈ کیری میں رکھیں۔,چیک ان معلومات,روانگی,اُردو,
118,کیا اسلام آباد ایئرپورٹ پر مسافر سہولت اسٹاف ہے؟,جی ہاں، ہر قطار میں عملہ موجود ہے۔,چیک ان معلومات,روانگی,اُردو,
119,کیا میں بیگیج پر اپنا نمبر لکھ سکتا ہوں؟,جی ہاں، شناخت کے لیے بہتر ہے۔,چیک ان معلومات,روانگی,اُردو,
120,کیا میں اپنی فلائٹ کی تاخیر کی اطلاع حاصل کر سکتا ہوں؟,جی ہاں، فلائٹ مانیٹر یا اعلان سے۔,چیک ان معلومات,روانگی,اُردو,
121,کیا میں دو مختلف ایئرلائنز سے سفر کر سکتا ہوں؟,جی ہاں، لیکن دونوں کا الگ چیک ان ہو گا۔,چیک ان معلومات,روانگی,اُردو,
122,کیا بیگیج ریپنگ لازمی ہے؟,نہیں، مگر حفاظت کے لیے مفید ہے۔,چیک ان معلومات,روانگی,اُردو,
123,کیا میں ایئرپورٹ پر نیا ٹکٹ خرید سکتا ہوں؟,جی ہاں، ٹکٹنگ ڈیسک پر۔,چیک ان معلومات,روانگی,اُردو,
124,کیا میں اسلام آباد سے کراچی فلائٹ کے لیے کیا وقت لوں؟,کم از کم دو گھنٹے پہلے پہنچیں۔,چیک ان معلومات,روانگی,اُردو,
125,کیا چیک ان کے بعد کوئی اعلامیہ سنایا جاتا ہے؟,جی ہاں، گیٹ اور تاخیر کی اطلاع دی جاتی ہے۔,چیک ان معلومات,روانگی,اُردو,
126,کیا میں اپنا بورڈنگ پاس کسی کو دکھا سکتا ہوں؟,ہاں، صرف سکیورٹی اہلکار کو۔,چیک ان معلومات,روانگی,اُردو,
127,کیا اسلام آباد ایئرپورٹ پر ماسک لازمی ہے؟,موجودہ ہدایات کے مطابق۔,چیک ان معلومات,روانگی,اُردو,
128,کیا میں ایئرپورٹ عملے سے بیگ لفافہ مانگ سکتا ہوں؟,جی ہاں، چیک ان کاؤنٹر پر دستیاب ہے۔,چیک ان معلومات,روانگی,اُردو,
129,کیا میں ادائیگی کارڈ سے کر سکتا ہوں؟,جی ہاں، زیادہ تر ایئرلائنز کارڈ قبول کرتی ہیں۔,چیک ان معلومات,روانگی,اُردو,
130,کیا میں اپنا بورڈنگ پاس ای میل سے حاصل کر سکتا ہوں؟,جی ہاں، ایئرلائن ویب سائٹ سے۔,چیک ان معلومات,روانگی,اُردو,
131,کیا اسلام آباد ایئرپورٹ پر شکایات کا کاؤنٹر ہے؟,جی ہاں، انفارمیشن ڈیسک کے ساتھ۔,چیک ان معلومات,روانگی,اُردو,
132,کیا میں اپنا بورڈنگ پاس دوبارہ پرنٹ کر سکتا ہوں؟,جی ہاں، ایئرلائن کاؤنٹر سے۔,چیک ان معلومات,روانگی,اُردو,
133,کیا میں دو الگ پروازوں کے لیے ایک ہی دن چیک ان کر سکتا ہوں؟,نہیں، ہر پرواز کا علیحدہ چیک ان ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
134,کیا میں نادرا کارڈ سے چیک ان کر سکتا ہوں؟,جی ہاں، ملکی پروازوں کے لیے۔,چیک ان معلومات,روانگی,اُردو,
135,کیا میں پرواز سے پہلے کاؤنٹر پر کھانا خرید سکتا ہوں؟,جی ہاں، کیفے اور ریسٹورنٹس دستیاب ہیں۔,چیک ان معلومات,روانگی,اُردو,
136,کیا چیک ان کے دوران میوزک سن سکتا ہوں؟,جی ہاں، اگر ہیڈ فون استعمال کر رہے ہوں۔,چیک ان معلومات,روانگی,اُردو,
137,کیا میں اپنا بورڈنگ پاس موبائل سے اسکین کرا سکتا ہوں؟,جی ہاں، بار کوڈ اسکین ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
138,کیا چیک ان کے دوران عملہ تصویری شناخت لیتا ہے؟,صرف ضرورت کی صورت میں۔,چیک ان معلومات,روانگی,اُردو,
139,کیا اسلام آباد ایئرپورٹ پر نماز کے لیے جگہ ہے؟,جی ہاں، ہال کے قریب مسجد موجود ہے۔,چیک ان معلومات,روانگی,اُردو,
140,کیا میں اپنا بورڈنگ پاس کسی اور کو بھیج سکتا ہوں؟,نہیں، یہ ذاتی دستاویز ہے۔,چیک ان معلومات,روانگی,اُردو,
141,کیا چیک ان کے دوران سفری ٹیکس ادا کرنا ہوتا ہے؟,نہیں، وہ ٹکٹ میں شامل ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
142,کیا میں بورڈنگ کے وقت بیگ واپس لے سکتا ہوں؟,نہیں، چیک ان کے بعد بیگ کارگو میں جاتا ہے۔,چیک ان معلومات,روانگی,اُردو,
143,کیا ایئرپورٹ پر دواؤں کا اسٹور ہے؟,جی ہاں، ہال اے کے قریب میڈیکل شاپ ہے۔,چیک ان معلومات,روانگی,اُردو,
144,کیا میں ایئرپورٹ پر چارجنگ کیبل خرید سکتا ہوں؟,جی ہاں، کنوینینس شاپس میں دستیاب ہے۔,چیک ان معلومات,روانگی,اُردو,
145,کیا میں اپنا موبائل چارج کرتے وقت کاؤنٹر کے قریب بیٹھ سکتا ہوں؟,جی ہاں، چیک ان ہال میں چارجنگ پوائنٹس کے ساتھ نشستیں دستیاب ہیں۔,چیک ان معلومات,روانگی,اُردو,
146,کیا میں عملے سے پرواز کی تاخیر کی تصدیق کر سکتا ہوں؟,جی ہاں، ایئرلائن کے نمائندے سے تازہ معلومات حاصل کریں۔,چیک ان معلومات,روانگی,اُردو,
147,اگر میرا شناختی کارڈ ایکسپائر ہو گیا ہے تو کیا سفر کر سکتا ہوں؟,نہیں، درست شناختی دستاویز ضروری ہے۔ براہ کرم نیا CNIC یا پاسپورٹ لائیں۔,چیک ان معلومات,روانگی,اُردو,
148,کیا میں اپنے دوست کو بورڈنگ گیٹ تک چھوڑنے جا سکتا ہوں؟,نہیں، صرف مسافروں کو سکیورٹی چیک کے بعد آگے جانے کی اجازت ہے۔,چیک ان معلومات,روانگی,اُردو,
149,کیا اسلام آباد ایئرپورٹ پر گمشدہ اشیاء کے لیے مدد مل سکتی ہے؟,جی ہاں، لاسٹ اینڈ فاؤنڈ ڈیسک ارائیول ہال کے قریب واقع ہے۔,چیک ان معلومات,روانگی,اُردو,
150,کیا میں چیک اِن کے بعد آرام کرنے کے لیے کوئی جگہ استعمال کر سکتا ہوں؟,جی ہاں، چیک اِن کے بعد لاؤنج ایریا میں آرام دہ نشستیں اور کیفے دستیاب ہیں۔,چیک ان معلومات,روانگی,اُردو,
151,کیا میں نازک کھیلوں کا سامان جیسے کہ تیر اندازی کا سامان چیک ان کروا سکتا ہوں؟,جی ہاں، لیکن آپ کو ایئر لائن کے خصوصی سامان کے قواعد کے بارے میں کاؤنٹر پر بتانا ہوگا۔,چیک ان معلومات,روانگی,اُردو,
152,اگر بچہ اکیلا سفر کر رہا ہو تو کیا چیک ان کے لیے کوئی خاص دستاویزات درکار ہیں؟,جی ہاں، والدین کی طرف سے اجازت نامہ اور ایئرلائن کا فارم پُر کرنا لازمی ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
153,اگر میرے نام کے ہجے ٹکٹ اور پاسپورٹ پر مختلف ہوں تو کیا ہوگا؟,یہ ایک سنگین مسئلہ ہو سکتا ہے۔ بہتر ہے کہ آپ فوراً ایئرلائن کاؤنٹر پر رابطہ کریں تاکہ وہ اسے درست کر سکیں۔,چیک ان معلومات,روانگی,اُردو,
154,اگر میری کنیکٹنگ فلائٹ مختلف ایئرلائنز کی ہے تو سامان کا کیا ہوگا؟,عام طور پر آپ کو سامان وصول کر کے دوبارہ دوسری ایئرلائن پر چیک ان کروانا پڑے گا۔ کاؤنٹر پر ضرور تصدیق کر لیں۔,چیک ان معلومات,روانگی,اُردو,
155,سیٹ اپ گریڈ کروانے کی ادائیگی کاؤنٹر پر ہو سکتی ہے؟,جی ہاں، اگر نشستیں دستیاب ہوں تو آپ کاؤنٹر پر ادائیگی کر کے سیٹ اپ گریڈ کر سکتے ہیں۔,چیک ان معلومات,روانگی,اُردو,
156,کیا میں اپنا عروسی لباس ہینڈ کیری میں لے جا سکتا ہوں تاکہ وہ خراب نہ ہو؟,جی ہاں، زیادہ تر ایئرلائنز اس کی اجازت دیتی ہیں۔ اسے احتیاط سے پیک کریں تاکہ کیبن میں آسکے۔,چیک ان معلومات,روانگی,اُردو,
157,اگر میرے پاسپورٹ کی میعاد ختم ہونے میں چھ ماہ سے کم ہیں، کیا میں بین الاقوامی سفر کر سکتا ہوں؟,نہیں، زیادہ تر ممالک کے لیے پاسپورٹ کا کم از کم چھ ماہ تک کارآمد ہونا لازمی ہے۔,چیک ان معلومات,روانگی,اُردو,
158,کیا حاملہ خواتین کے لیے کوئی ترجیحی چیک ان کی سہولت ہے؟,جی ہاں، عام طور پر خصوصی معاونت والے کاؤنٹر پر انہیں ترجیح دی جاتی ہے۔ آپ عملے سے مدد مانگ سکتی ہیں۔,چیک ان معلومات,روانگی,اُردو,
159,میری پرواز کوڈ شیئر ہے، مجھے کس ایئرلائن کے کاؤنٹر پر چیک ان کروانا ہے؟,آپ کو اس ایئرلائن کے کاؤنٹر پر جانا ہوگا جو پرواز چلا رہی ہے، آپ کے ٹکٹ پر اس کا نام لکھا ہوگا۔,چیک ان معلومات,روانگی,اُردو,
160,اگر میرے پاس دو بیگ ہیں، تو کیا میں دونوں کا وزن ملا کر الاؤنس پورا کر سکتا ہوں؟,نہیں، ہر بیگ کا وزن الگ الگ شمار ہوتا ہے اور اسے ایئرلائن کی مقرر کردہ حد کے اندر ہونا چاہیے۔,چیک ان معلومات,روانگی,اُردو,
161,اگر میں نے بیگ ڈراپ کر دیا ہے لیکن اس میں سے کوئی چیز نکالنی ہے، تو کیا یہ ممکن ہے؟,یہ بہت مشکل ہے۔ ایک بار بیگ سسٹم میں چلا جائے تو اسے واپس نکالنا تقریباً ناممکن ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
162,کیا میں قومی شناختی کارڈ کی ڈیجیٹل کاپی سے اندرون ملک پرواز پر چیک ان کر سکتا ہوں؟,نہیں، فی الحال صرف اصل شناختی کارڈ ہی قابل قبول ہے۔,چیک ان معلومات,روانگی,اُردو,
163,اگر میرا بیگ وزن میں کم لیکن سائز میں بڑا ہے، تو کیا اضافی چارجز لگیں گے؟,جی ہاں، ایئرلائنز وزن کے ساتھ ساتھ سائز کی بھی حد مقرر کرتی ہیں۔ بڑے سائز پر اضافی فیس ہو سکتی ہے۔,چیک ان معلومات,روانگی,اُردو,
164,کیا میں اپنے بزرگ والدین کے لیے وہیل چیئر کا انتظام چیک ان کاؤنٹر پر کروا سکتا ہوں؟,جی ہاں، آپ کاؤنٹر پر درخواست کر سکتے ہیں، لیکن بہتر ہے کہ ٹکٹ بک کرواتے وقت ہی یہ سہولت حاصل کر لیں۔,چیک ان معلومات,روانگی,اُردو,
165,کیا مجھے کسٹمز ڈیکلریشن فارم چیک ان سے پہلے بھرنا ہوتا ہے؟,نہیں، یہ فارم عام طور پر امیگریشن کے بعد یا جہاز میں دیا جاتا ہے۔,چیک ان معلومات,روانگی,اُردو,
166,اگر میرے پاس نسخے والی دوائیں ہیں، تو کیا چیک ان کے وقت ڈاکٹر کا نسخہ دکھانا ضروری ہے؟,بہتر ہے کہ آپ نسخہ ساتھ رکھیں، خاص طور پر اگر دوائیں مائع شکل میں ہوں یا بین الاقوامی سفر ہو۔,چیک ان معلومات,روانگی,اُردو,
167,خودکار چیک ان مشین میرا پاسپورٹ اسکین نہیں کر رہی، اب میں کیا کروں؟,آپ پریشان نہ ہوں، سیدھا ایئرلائن کے کاؤنٹر پر چلے جائیں، وہاں کا عملہ آپ کا چیک ان کر دے گا۔,چیک ان معلومات,روانگی,اُردو,
168,کیا میں چیک ان کے دوران ایئرلائن کے مائلز پروگرام میں شامل ہو سکتا ہوں؟,نہیں، یہ سہولت عام طور پر آن لائن یا ایئرلائن کے دفتر میں دستیاب ہوتی ہے۔,چیک ان معلومات,روانگی,اُردو,
169,اگر میرے پاس زیادہ نقدی ہے، تو کیا مجھے چیک ان کے وقت اس کا اعلان کرنا ہوگا؟,نہیں، آپ کو یہ کسٹمز یا امیگریشن پر بتانا ہوتا ہے، چیک ان کاؤنٹر پر نہیں۔,چیک ان معلومات,روانگی,اُردو,
170,کیا چیک ان کے بعد روانگی لاؤنج میں آرام کرنے کی کوئی جگہ ہے؟,جی ہاں، روانگی لاؤنج میں بیٹھنے کی کافی جگہ اور کچھ آرام دہ کرسیاں بھی ہوتی ہیں۔,چیک ان معلومات,روانگی,اُردو,
171,میں اپنے ساتھ ایک پینٹنگ لے جا رہا ہوں، کیا اس کے لیے کوئی خصوصی ہینڈلنگ دستیاب ہے؟,جی ہاں، آپ کاؤنٹر پر بتائیں، وہ اس پر 'نازک' (Fragile) کا اسٹیکر لگائیں گے اور احتیاط سے ہینڈل کریں گے۔,چیک ان معلومات,روانگی,اُردو,
172,اگر چیک ان کا عملہ تعاون نہیں کر رہا، تو میں کس سے شکایت کر سکتا ہوں؟,آپ اسی ایئرلائن کے ڈیوٹی مینیجر یا سپروائزر سے بات کر سکتے ہیں، جو وہیں موجود ہوتے ہیں۔,چیک ان معلومات,روانگی,اُردو,
173,کیا میں چیک ان کے دوران واش روم کے قریب نشست کی درخواست کر سکتا ہوں؟,جی ہاں، اگر ایسی نشستیں خالی ہوں تو آپ درخواست کر سکتے ہیں اور عملہ آپ کو وہ نشست دے دے گا۔,چیک ان معلومات,روانگی,اُردو,
174,میری سامان کی رسید گم ہو گئی ہے، کیا مجھے دوسری کاپی مل سکتی ہے؟,جی ہاں، آپ ایئرلائن کاؤنٹر پر اپنی شناختی دستاویزات دکھا کر دوبارہ رسید حاصل کر سکتے ہیں۔,چیک ان معلومات,روانگی,اُردو,
175,کیا میں متوفی کی راکھ لے کر سفر کر سکتا ہوں؟ اس کا کیا طریقہ کار ہے؟,جی ہاں، اس کے لیے ڈیتھ سرٹیفکیٹ اور ایئرلائن سے پیشگی اجازت درکار ہوتی ہے۔ اسے ہینڈ کیری میں لے جانا بہتر ہے۔,چیک ان معلومات,روانگی,اُردو,
176,کیا ایئرپورٹ پر سامان رکھنے کے لیے لاکرز کی سہولت ہے؟,نہیں، اسلام آباد ایئرپورٹ پر مسافروں کے لیے لاکرز کی سہولت نہیں ہے۔,چیک ان معلومات,روانگی,اُردو,
177,کیا چیک ان کاؤنٹر پر موبائل چارجنگ پورٹس ہیں؟,جی ہاں، کاؤنٹرز کے قریب دیواروں پر چارجنگ اسٹیشنز بنے ہوئے ہیں۔,چیک ان معلومات,روانگی,اُردو,
178,اگر میں غلط کاؤنٹر کی لائن میں لگ جاؤں تو کیا عملہ میری رہنمائی کرے گا؟,جی ہاں، عملہ آپ کو آپ کی ایئرلائن کے درست کاؤنٹر کی طرف بھیج دے گا۔,چیک ان معلومات,روانگی,اُردو,
179,کیا میں چیک ان سے پہلے سامان کا وزن کم کرنے کے لیے اسے دوبارہ پیک کر سکتا ہوں؟,جی ہاں، کاؤنٹرز سے تھوڑا پیچھے ہٹ کر آپ اپنے سامان کو دوبارہ ترتیب دے سکتے ہیں۔,چیک ان معلومات,روانگی,اُردو,
180,بورڈنگ پاس پر 'SEQ NO' کا کیا مطلب ہوتا ہے؟,اس کا مطلب 'سیکوئنس نمبر' ہے، یعنی آپ اس پرواز پر چیک ان کرنے والے کونسے نمبر کے مسافر ہیں۔,چیک ان معلومات,روانگی,اُردو,
181,کیا میں اپنے پالتو پرندے (مثلاً طوطا) کو ساتھ لے جا سکتا ہوں؟,جی ہاں، لیکن اس کے لیے ایئرلائن کے قوانین کے مطابق ایک مناسب پنجرہ اور صحت کا سرٹیفکیٹ لازمی ہے۔,چیک ان معلومات,روانگی,اُردو,
182,اگر مجھے الرجی ہے تو کیا میں عملے کو پہلے سے بتا سکتا ہوں؟,جی ہاں، آپ چیک ان کے وقت عملے کو اپنی الرجی کے بارے میں بتا دیں تاکہ وہ احتیاطی تدابیر اختیار کر سکیں۔,چیک ان معلومات,روانگی,اُردو,
183,کیا ایئرپورٹ پر سامان پیک کرنے کے لیے ڈبے یا بکس مل سکتے ہیں؟,نہیں، یہ سہولت ایئرپورٹ پر دستیاب نہیں ہے۔ آپ کو اپنا سامان خود پیک کر کے لانا ہوگا۔,چیک ان معلومات,روانگی,اُردو,
184,کیا میں صرف ہینڈ کیری کے ساتھ سفر کر رہا ہوں تو بھی کاؤنٹر پر جانا ہوگا؟,اگر آپ نے آن لائن چیک ان کر لیا ہے تو کاؤنٹر پر جانے کی ضرورت نہیں، آپ سیدھا سیکیورٹی کی طرف جا سکتے ہیں۔,چیک ان معلومات,روانگی,اُردو,
185,کیا ایئرپورٹ پر کوئی اعلان ہوتا ہے اگر کوئی مسافر رہ جائے؟,جی ہاں، آخری لمحات میں گمشدہ مسافروں کے نام پکارے جاتے ہیں۔,چیک ان معلومات,روانگی,اُردو,
186,کیا سامان پر پرانے اسٹیکرز لگے رہنے سے کوئی مسئلہ ہوتا ہے؟,جی ہاں، اس سے سامان غلط جگہ جا سکتا ہے۔ سفر سے پہلے ہمیشہ پرانے اسٹیکرز اتار دیں۔,چیک ان معلومات,روانگی,اُردو,
187,کیا طبی آلات (جیسے کہ سانس لینے کی مشین) ہینڈ کیری میں لے جا سکتے ہیں؟,جی ہاں، ڈاکٹر کے خط کے ساتھ آپ طبی آلات ہینڈ کیری میں لے جا سکتے ہیں۔,چیک ان معلومات,روانگی,اُردو,
188,کیا چیک ان کے بعد کرنسی کی شرح تبادلہ مختلف ہوتی ہے؟,نہیں، شرح تبادلہ پورے ایئرپورٹ پر ایک جیسی ہی رہتی ہے۔,چیک ان معلومات,روانگی,اُردو,
189,اگر میرے ٹکٹ پر درمیانی نام نہیں لکھا لیکن پاسپورٹ پر ہے تو کیا ہوگا؟,عام طور پر اس سے مسئلہ نہیں ہوتا اگر پہلا اور آخری نام درست ہو۔,چیک ان معلومات,روانگی,اُردو,
190,کیا میں اپنے ساتھ پودے لے جا سکتا ہوں؟,نہیں، زیادہ تر ممالک میں مٹی اور پودے لے جانے پر پابندی ہوتی ہے۔ آپ کو ایئرلائن سے پوچھنا ہوگا۔,چیک ان معلومات,روانگی,اُردو,
191,کیا میں اپنے بورڈنگ پاس کی تصویر سوشل میڈیا پر لگا سکتا ہوں؟,نہیں، ایسا ہرگز نہ کریں۔ اس پر موجود بارکوڈ سے آپ کی ذاتی معلومات چوری ہو سکتی ہیں۔,چیک ان معلومات,روانگی,اُردو,
192,کیا اضافی سامان کی فیس ہر کلو کے حساب سے ہوتی ہے؟,جی ہاں، عام طور پر ایئرلائنز ہر اضافی کلوگرام پر الگ سے چارج کرتی ہیں۔,چیک ان معلومات,روانگی,اُردو,
193,کیا میں مائع ادویات 100 ملی لیٹر سے زیادہ لے جا سکتا ہوں؟,جی ہاں، اگر آپ کے پاس ڈاکٹر کا نسخہ ہے تو آپ کو اجازت مل سکتی ہے۔,چیک ان معلومات,روانگی,اُردو,
194,کیا میں اپنے دوست کا سامان بھی اپنے الاؤنس میں چیک ان کروا سکتا ہوں؟,نہیں، ہر مسافر صرف اپنا سامان ہی چیک ان کروا سکتا ہے، کسی دوسرے کا نہیں۔,چیک ان معلومات,روانگی,اُردو,
195,کیا ایئرپورٹ پر بچوں کے کھیلنے کی کوئی جگہ ہے؟,جی ہاں، بین الاقوامی روانگی لاؤنج میں بچوں کے لیے ایک چھوٹا سا پلے ایریا موجود ہے۔,چیک ان معلومات,روانگی,اُردو,
196,کیا میں چیک ان کے بعد سگریٹ نوشی کر سکتا ہوں؟,جی ہاں، روانگی لاؤنج میں سگریٹ نوشی کے لیے مخصوص جگہ بنی ہوئی ہے۔,چیک ان معلومات,روانگی,اُردو,
197,اگر سسٹم میں میری بکنگ نظر نہ آئے تو کیا ہوگا؟,آپ اپنا ای-ٹکٹ یا بکنگ کی تصدیقی ای میل دکھائیں، عملہ اس سے آپ کی بکنگ تلاش کر لے گا۔,چیک ان معلومات,روانگی,اُردو,
198,کیا میں سامان کی حفاظت کے لیے اس پر تالا لگا سکتا ہوں؟,جی ہاں، بالکل۔ اپنے سامان کی حفاظت کے لیے تالا لگانا ایک اچھا اقدام ہے۔,چیک ان معلومات,روانگی,اُردو,
199,کیا ایئرپورٹ پر کتابوں کی دکان ہے؟,جی ہاں، روانگی لاؤنج میں کتابوں اور رسالوں کی ایک دکان موجود ہے۔,چیک ان معلومات,روانگی,اُردو,
200,بورڈنگ پاس ملنے کے بعد اگلا مرحلہ کیا ہوتا ہے؟,بورڈنگ پاس حاصل کرنے کے بعد آپ کو امیگریشن اور پھر سیکیورٹی اسکیننگ سے گزرنا ہوتا ہے۔,چیک ان معلومات,روانگی,اُردو,
